,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,formula,target
109,109,109,109,109,109,109,109,109,109,109,109,LaCoGe2,45
110,110,110,110,110,110,110,110,110,110,110,110,SrHgPb,90
111,111,111,111,111,111,111,111,111,111,111,111,CeNiSnH2,35
112,112,112,112,112,112,112,112,112,112,112,112,RuKr,55
113,113,113,113,113,113,113,113,113,113,113,113,HoAl8Cr4,40
114,114,114,114,114,114,114,114,114,114,114,114,Ba4CaFe,65
115,115,115,115,115,115,115,115,115,115,115,115,MgC2,40
116,116,116,116,116,116,116,116,116,116,116,116,Ca3BiN,45
117,117,117,117,117,117,117,117,117,117,117,117,CrF,30
118,118,118,118,118,118,118,118,118,118,118,118,YbSr,50
119,119,119,119,119,119,119,119,119,119,119,119,Rb3ZnBr5,30
120,120,120,120,120,120,120,120,120,120,120,120,Be2VHg,65
121,121,121,121,121,121,121,121,121,121,121,121,PdSe2,40
122,122,122,122,122,122,122,122,122,122,122,122,MgBeCu2,50
123,123,123,123,123,123,123,123,123,123,123,123,Li2CaCoO4,20
124,124,124,124,124,124,124,124,124,124,124,124,Ba4TlV,55
125,125,125,125,125,125,125,125,125,125,125,125,Sr3N2,30
126,126,126,126,126,126,126,126,126,126,126,126,YH3C3O6,20
127,127,127,127,127,127,127,127,127,127,127,127,BSbO2,80
128,128,128,128,128,128,128,128,128,128,128,128,ErAl3C3,40
129,129,129,129,129,129,129,129,129,129,129,129,HfZr2UC4,25
130,130,130,130,130,130,130,130,130,130,130,130,Rb2LiSbF6,25
131,131,131,131,131,131,131,131,131,131,131,131,Sr2DySbO6,50
132,132,132,132,132,132,132,132,132,132,132,132,UHg3,40
133,133,133,133,133,133,133,133,133,133,133,133,Dy2ZnAg,25
134,134,134,134,134,134,134,134,134,134,134,134,KAlH2CO5,20
135,135,135,135,135,135,135,135,135,135,135,135,DySnGe,70
136,136,136,136,136,136,136,136,136,136,136,136,LiTaO2,45
137,137,137,137,137,137,137,137,137,137,137,137,LiAlNiO3,30
138,138,138,138,138,138,138,138,138,138,138,138,Li4Fe5O10,25
139,139,139,139,139,139,139,139,139,139,139,139,CaIn2S4,35
140,140,140,140,140,140,140,140,140,140,140,140,LiV2PO7,30
141,141,141,141,141,141,141,141,141,141,141,141,ZnCr4CdSe8,35
142,142,142,142,142,142,142,142,142,142,142,142,Pd2O,80
143,143,143,143,143,143,143,143,143,143,143,143,Pu7Au,25
144,144,144,144,144,144,144,144,144,144,144,144,CaSi2Os2,30
145,145,145,145,145,145,145,145,145,145,145,145,TiIn2Br6,35
146,146,146,146,146,146,146,146,146,146,146,146,NaLuO2,25
147,147,147,147,147,147,147,147,147,147,147,147,NdAlO3,25
148,148,148,148,148,148,148,148,148,148,148,148,InPS4,25
149,149,149,149,149,149,149,149,149,149,149,149,BBrN2,55
150,150,150,150,150,150,150,150,150,150,150,150,Lu7Te2Pd2,50
151,151,151,151,151,151,151,151,151,151,151,151,MgMnF4,25
152,152,152,152,152,152,152,152,152,152,152,152,BeInCu4,105
153,153,153,153,153,153,153,153,153,153,153,153,V3Ir,65
154,154,154,154,154,154,154,154,154,154,154,154,Bi2Te4Pb,35
155,155,155,155,155,155,155,155,155,155,155,155,CePt,40
156,156,156,156,156,156,156,156,156,156,156,156,Nb2TcMo,55
157,157,157,157,157,157,157,157,157,157,157,157,CrCdTe2,40
158,158,158,158,158,158,158,158,158,158,158,158,K3Sn4Au,65
159,159,159,159,159,159,159,159,159,159,159,159,HfBeNi,30
160,160,160,160,160,160,160,160,160,160,160,160,CrAg3ClO4,25
161,161,161,161,161,161,161,161,161,161,161,161,CaPt3,45
162,162,162,162,162,162,162,162,162,162,162,162,Tb6Al3Si,50
163,163,163,163,163,163,163,163,163,163,163,163,CdGa2Se4,30
164,164,164,164,164,164,164,164,164,164,164,164,Dy5AgS8,30
165,165,165,165,165,165,165,165,165,165,165,165,YbNdAu2,55
166,166,166,166,166,166,166,166,166,166,166,166,CrCoSi2,35
167,167,167,167,167,167,167,167,167,167,167,167,Rb3TmP2O8,25
168,168,168,168,168,168,168,168,168,168,168,168,FeSn2C6N6,15
169,169,169,169,169,169,169,169,169,169,169,169,CuGeO3,30
170,170,170,170,170,170,170,170,170,170,170,170,CaPt5,60
171,171,171,171,171,171,171,171,171,171,171,171,NbSiRu,30
172,172,172,172,172,172,172,172,172,172,172,172,VH10SO10,25
173,173,173,173,173,173,173,173,173,173,173,173,LiPmMg2,50
174,174,174,174,174,174,174,174,174,174,174,174,Se3Br,30
175,175,175,175,175,175,175,175,175,175,175,175,BeMo2W,40
176,176,176,176,176,176,176,176,176,176,176,176,KPdO3,60
177,177,177,177,177,177,177,177,177,177,177,177,PrRh3,40
178,178,178,178,178,178,178,178,178,178,178,178,Mn2BeV,55
179,179,179,179,179,179,179,179,179,179,179,179,HeMn28,35
180,180,180,180,180,180,180,180,180,180,180,180,LiInMo3O8,20
181,181,181,181,181,181,181,181,181,181,181,181,Au3Cl,50
182,182,182,182,182,182,182,182,182,182,182,182,KRuO4,25
183,183,183,183,183,183,183,183,183,183,183,183,RbFeF3,35
184,184,184,184,184,184,184,184,184,184,184,184,MgGeO3,25
185,185,185,185,185,185,185,185,185,185,185,185,TlPSe,45
186,186,186,186,186,186,186,186,186,186,186,186,CaZn,90
187,187,187,187,187,187,187,187,187,187,187,187,TaCl5,30
188,188,188,188,188,188,188,188,188,188,188,188,Th3U,70
189,189,189,189,189,189,189,189,189,189,189,189,Y5Mg,65
190,190,190,190,190,190,190,190,190,190,190,190,Li2O,25
191,191,191,191,191,191,191,191,191,191,191,191,LiNO3,80
192,192,192,192,192,192,192,192,192,192,192,192,ScBrO2,40
193,193,193,193,193,193,193,193,193,193,193,193,MgSc2Ga,40
194,194,194,194,194,194,194,194,194,194,194,194,Th2FeSe5,35
195,195,195,195,195,195,195,195,195,195,195,195,H2CBrCl,15
196,196,196,196,196,196,196,196,196,196,196,196,Zn2Sb3O8,30
197,197,197,197,197,197,197,197,197,197,197,197,LiNdGe2,55
198,198,198,198,198,198,198,198,198,198,198,198,TiMn2Ge,35
199,199,199,199,199,199,199,199,199,199,199,199,Ho5Ge2Sb2,30
200,200,200,200,200,200,200,200,200,200,200,200,KBa2Si,70
201,201,201,201,201,201,201,201,201,201,201,201,Sr2TiO4,30
202,202,202,202,202,202,202,202,202,202,202,202,NdMn2,75
203,203,203,203,203,203,203,203,203,203,203,203,CaLaAg2,50
204,204,204,204,204,204,204,204,204,204,204,204,Ho3Co2Ge4,45
205,205,205,205,205,205,205,205,205,205,205,205,Ba2YBiO6,25
206,206,206,206,206,206,206,206,206,206,206,206,Rb2CuBrCl3,30
207,207,207,207,207,207,207,207,207,207,207,207,KNaO,25
208,208,208,208,208,208,208,208,208,208,208,208,HfZrS6,30
209,209,209,209,209,209,209,209,209,209,209,209,Ba4YRe,50
210,210,210,210,210,210,210,210,210,210,210,210,TiBeFe2,25
211,211,211,211,211,211,211,211,211,211,211,211,V4O7F5,35
212,212,212,212,212,212,212,212,212,212,212,212,SrYGa3O7,30
213,213,213,213,213,213,213,213,213,213,213,213,Ba2SbBr,20
214,214,214,214,214,214,214,214,214,214,214,214,PrNi,75
215,215,215,215,215,215,215,215,215,215,215,215,Li4Fe2SiO7,20
216,216,216,216,216,216,216,216,216,216,216,216,ErTi2,50
217,217,217,217,217,217,217,217,217,217,217,217,H3Br,25
218,218,218,218,218,218,218,218,218,218,218,218,LaMnNi4,40
219,219,219,219,219,219,219,219,219,219,219,219,ThTe2O6,25
220,220,220,220,220,220,220,220,220,220,220,220,Dy4Ga12Pd,90
221,221,221,221,221,221,221,221,221,221,221,221,H3ClO,25
222,222,222,222,222,222,222,222,222,222,222,222,Li3FeOF3,30
223,223,223,223,223,223,223,223,223,223,223,223,Li2Mn2C3O9,35
224,224,224,224,224,224,224,224,224,224,224,224,RbSbO3,65
225,225,225,225,225,225,225,225,225,225,225,225,TiH2,65
226,226,226,226,226,226,226,226,226,226,226,226,La2MgFeO6,25
227,227,227,227,227,227,227,227,227,227,227,227,Sr3Al2Ge2,55
228,228,228,228,228,228,228,228,228,228,228,228,YbTi2CdO6F,35
229,229,229,229,229,229,229,229,229,229,229,229,LiTaWO6,30
230,230,230,230,230,230,230,230,230,230,230,230,PrIn2Rh,50
231,231,231,231,231,231,231,231,231,231,231,231,B4CCl6O,20
232,232,232,232,232,232,232,232,232,232,232,232,SrPdF4,20
233,233,233,233,233,233,233,233,233,233,233,233,YbIn5Ir,70
234,234,234,234,234,234,234,234,234,234,234,234,Yb3Sn5,65
235,235,235,235,235,235,235,235,235,235,235,235,HgTe2,45
236,236,236,236,236,236,236,236,236,236,236,236,Mg2ZrBe,50
237,237,237,237,237,237,237,237,237,237,237,237,KNaMg2Si4O10F2,25
238,238,238,238,238,238,238,238,238,238,238,238,UH2O4,25
239,239,239,239,239,239,239,239,239,239,239,239,EuSb12Os4,55
240,240,240,240,240,240,240,240,240,240,240,240,CdPPt5,80
241,241,241,241,241,241,241,241,241,241,241,241,VCu,35
242,242,242,242,242,242,242,242,242,242,242,242,Li4V5Cr3O16,30
243,243,243,243,243,243,243,243,243,243,243,243,Se2Kr,40
244,244,244,244,244,244,244,244,244,244,244,244,Ga2Ir,55
245,245,245,245,245,245,245,245,245,245,245,245,Sm3Si2Ni,50
246,246,246,246,246,246,246,246,246,246,246,246,BaSeCl,30
247,247,247,247,247,247,247,247,247,247,247,247,Ge3Pt2,70
248,248,248,248,248,248,248,248,248,248,248,248,K3GaS3,30
249,249,249,249,249,249,249,249,249,249,249,249,Bi3BrO4,30
250,250,250,250,250,250,250,250,250,250,250,250,Ca5MgN4,25
251,251,251,251,251,251,251,251,251,251,251,251,K2TiSi3O9,30
252,252,252,252,252,252,252,252,252,252,252,252,SrGe2Au2,85
253,253,253,253,253,253,253,253,253,253,253,253,Tb6CoTe2,55
254,254,254,254,254,254,254,254,254,254,254,254,Na4FeO3,20
255,255,255,255,255,255,255,255,255,255,255,255,CdH4C4O4,20
256,256,256,256,256,256,256,256,256,256,256,256,NeYb3,70
257,257,257,257,257,257,257,257,257,257,257,257,ZrBe2Os,35
258,258,258,258,258,258,258,258,258,258,258,258,NeHo8,55
259,259,259,259,259,259,259,259,259,259,259,259,HBrN,90
260,260,260,260,260,260,260,260,260,260,260,260,Al2H,70
261,261,261,261,261,261,261,261,261,261,261,261,V6Ga5,45
262,262,262,262,262,262,262,262,262,262,262,262,SmSn4Rh2,65
263,263,263,263,263,263,263,263,263,263,263,263,CdBr,50
264,264,264,264,264,264,264,264,264,264,264,264,MnPRh,30
265,265,265,265,265,265,265,265,265,265,265,265,CaInAg2,40
266,266,266,266,266,266,266,266,266,266,266,266,CeCoGe2,30
267,267,267,267,267,267,267,267,267,267,267,267,LiSc2Tc,60
268,268,268,268,268,268,268,268,268,268,268,268,Ba4ScSn,75
269,269,269,269,269,269,269,269,269,269,269,269,UZn3,30
270,270,270,270,270,270,270,270,270,270,270,270,Sr4Nb3PO14,25
271,271,271,271,271,271,271,271,271,271,271,271,BaCl3,30
272,272,272,272,272,272,272,272,272,272,272,272,Na2NiO2,25
273,273,273,273,273,273,273,273,273,273,273,273,Sm4Sn3,75
274,274,274,274,274,274,274,274,274,274,274,274,TaBe2In,55
275,275,275,275,275,275,275,275,275,275,275,275,BeCdSb,100
276,276,276,276,276,276,276,276,276,276,276,276,TmZnPd2,50
277,277,277,277,277,277,277,277,277,277,277,277,ErCoSi3,50
278,278,278,278,278,278,278,278,278,278,278,278,ZrNi2Sn,40
279,279,279,279,279,279,279,279,279,279,279,279,Yb2GaHg,75
280,280,280,280,280,280,280,280,280,280,280,280,Sc3Co2Si3,60
281,281,281,281,281,281,281,281,281,281,281,281,TbBPd3,80
282,282,282,282,282,282,282,282,282,282,282,282,Li5Mn3Nb2O10,25
283,283,283,283,283,283,283,283,283,283,283,283,LiClO2,20
284,284,284,284,284,284,284,284,284,284,284,284,MgH6Br2N2,30
285,285,285,285,285,285,285,285,285,285,285,285,Mg5Si2N6,25
286,286,286,286,286,286,286,286,286,286,286,286,CrCl2,30
287,287,287,287,287,287,287,287,287,287,287,287,TbAl8Cr4,40
288,288,288,288,288,288,288,288,288,288,288,288,MnCo2Sb,35
289,289,289,289,289,289,289,289,289,289,289,289,ZrTi2,55
290,290,290,290,290,290,290,290,290,290,290,290,SrMn2Si,35
291,291,291,291,291,291,291,291,291,291,291,291,PmTm3,55
292,292,292,292,292,292,292,292,292,292,292,292,LaSb,50
293,293,293,293,293,293,293,293,293,293,293,293,SiH3I,25
294,294,294,294,294,294,294,294,294,294,294,294,MgAlAu2,35
295,295,295,295,295,295,295,295,295,295,295,295,NaInSn4,80
296,296,296,296,296,296,296,296,296,296,296,296,Tb8Au,60
297,297,297,297,297,297,297,297,297,297,297,297,Dy3TaO7,25
298,298,298,298,298,298,298,298,298,298,298,298,LiY2S2,40
299,299,299,299,299,299,299,299,299,299,299,299,Al3Ga,140
300,300,300,300,300,300,300,300,300,300,300,300,In3GaN4,45
301,301,301,301,301,301,301,301,301,301,301,301,Ca2Fe3O8,30
302,302,302,302,302,302,302,302,302,302,302,302,YAgHg2,55
303,303,303,303,303,303,303,303,303,303,303,303,ZnPd,75
304,304,304,304,304,304,304,304,304,304,304,304,FeSO4F,30
305,305,305,305,305,305,305,305,305,305,305,305,BaHo2O4,30
306,306,306,306,306,306,306,306,306,306,306,306,RbCu4S3,35
307,307,307,307,307,307,307,307,307,307,307,307,BaZrTe2,70
308,308,308,308,308,308,308,308,308,308,308,308,FeCoO4,30
309,309,309,309,309,309,309,309,309,309,309,309,Tb5BiAu2,50
310,310,310,310,310,310,310,310,310,310,310,310,Fe8N,40
311,311,311,311,311,311,311,311,311,311,311,311,B5H9,20
312,312,312,312,312,312,312,312,312,312,312,312,HfGa3Ni12,50
313,313,313,313,313,313,313,313,313,313,313,313,LiAl2FeO6,30
314,314,314,314,314,314,314,314,314,314,314,314,Er2SiGe,40
315,315,315,315,315,315,315,315,315,315,315,315,ErNi3,60
316,316,316,316,316,316,316,316,316,316,316,316,Na4SrSi3O9,20
317,317,317,317,317,317,317,317,317,317,317,317,Li2Fe4O3F8,25
318,318,318,318,318,318,318,318,318,318,318,318,Li2NiSnO4,30
319,319,319,319,319,319,319,319,319,319,319,319,Tb2Al5Ge2,25
320,320,320,320,320,320,320,320,320,320,320,320,Ba4HgRh,50
321,321,321,321,321,321,321,321,321,321,321,321,Na6Ni7O14,45
322,322,322,322,322,322,322,322,322,322,322,322,K8LaP4Se16,25
323,323,323,323,323,323,323,323,323,323,323,323,Sr3CaCr2S2O5,45
324,324,324,324,324,324,324,324,324,324,324,324,Li2CrNiP2O8,25
325,325,325,325,325,325,325,325,325,325,325,325,Fe5NiN4,40
326,326,326,326,326,326,326,326,326,326,326,326,Ba2CdHg,45
327,327,327,327,327,327,327,327,327,327,327,327,LiIrO2,25
328,328,328,328,328,328,328,328,328,328,328,328,InI2,65
329,329,329,329,329,329,329,329,329,329,329,329,NaIn2Sn,60
330,330,330,330,330,330,330,330,330,330,330,330,VInPt,35
331,331,331,331,331,331,331,331,331,331,331,331,NaSrMg6,70
332,332,332,332,332,332,332,332,332,332,332,332,RbZrMnF7,30
333,333,333,333,333,333,333,333,333,333,333,333,YbGeAu,60
334,334,334,334,334,334,334,334,334,334,334,334,CaTaO3,60
335,335,335,335,335,335,335,335,335,335,335,335,BaSe,35
336,336,336,336,336,336,336,336,336,336,336,336,TaCl4O,30
337,337,337,337,337,337,337,337,337,337,337,337,Na2Si2O5,25
338,338,338,338,338,338,338,338,338,338,338,338,TiBeP,45
339,339,339,339,339,339,339,339,339,339,339,339,TiSnRu2,55
340,340,340,340,340,340,340,340,340,340,340,340,NbI5,50
341,341,341,341,341,341,341,341,341,341,341,341,K6MnSe4,30
342,342,342,342,342,342,342,342,342,342,342,342,SmU3,40
343,343,343,343,343,343,343,343,343,343,343,343,BeGa2Se,70
344,344,344,344,344,344,344,344,344,344,344,344,CuHg,35
345,345,345,345,345,345,345,345,345,345,345,345,Pr2Co3Ge5,50
346,346,346,346,346,346,346,346,346,346,346,346,Ba4NbCu,40
347,347,347,347,347,347,347,347,347,347,347,347,Li4Ti3Nb3V2O16,30
348,348,348,348,348,348,348,348,348,348,348,348,Na2TlGaF6,20
349,349,349,349,349,349,349,349,349,349,349,349,Li2N,45
350,350,350,350,350,350,350,350,350,350,350,350,Li3Cr2NiO6,20
351,351,351,351,351,351,351,351,351,351,351,351,InN,35
352,352,352,352,352,352,352,352,352,352,352,352,CuAgTe2,125
353,353,353,353,353,353,353,353,353,353,353,353,CeGeAu,35
354,354,354,354,354,354,354,354,354,354,354,354,PrCuGe2,35
355,355,355,355,355,355,355,355,355,355,355,355,MnGaAu,40
356,356,356,356,356,356,356,356,356,356,356,356,Na2BeCl,30
357,357,357,357,357,357,357,357,357,357,357,357,Ti3ZnHg4,75
358,358,358,358,358,358,358,358,358,358,358,358,Sr4Bi3,55
359,359,359,359,359,359,359,359,359,359,359,359,YbKO2,30
360,360,360,360,360,360,360,360,360,360,360,360,Ac3V,60
361,361,361,361,361,361,361,361,361,361,361,361,Pr3Bi4Pt3,50
362,362,362,362,362,362,362,362,362,362,362,362,La2ZnAg,50
363,363,363,363,363,363,363,363,363,363,363,363,Th5Pb3,45
364,364,364,364,364,364,364,364,364,364,364,364,SnHg,55
365,365,365,365,365,365,365,365,365,365,365,365,CaBeGe2,75
366,366,366,366,366,366,366,366,366,366,366,366,Sr3CoC3N3,25
367,367,367,367,367,367,367,367,367,367,367,367,HoBr3,30
368,368,368,368,368,368,368,368,368,368,368,368,BiPbO,30
369,369,369,369,369,369,369,369,369,369,369,369,Li2CrPbS4,30
370,370,370,370,370,370,370,370,370,370,370,370,AsHN,85
371,371,371,371,371,371,371,371,371,371,371,371,SrHg3,95
372,372,372,372,372,372,372,372,372,372,372,372,HoIn,85
373,373,373,373,373,373,373,373,373,373,373,373,Zr2V6Sb9,65
374,374,374,374,374,374,374,374,374,374,374,374,La2Ni4Ge3P,40
375,375,375,375,375,375,375,375,375,375,375,375,SrYMg2,35
376,376,376,376,376,376,376,376,376,376,376,376,YbMg16Al12,95
377,377,377,377,377,377,377,377,377,377,377,377,Ca2SiB2O7,25
378,378,378,378,378,378,378,378,378,378,378,378,CeYNi4,40
379,379,379,379,379,379,379,379,379,379,379,379,CePd5,55
380,380,380,380,380,380,380,380,380,380,380,380,KNa2AuO2,50
381,381,381,381,381,381,381,381,381,381,381,381,MgSn2O4,40
382,382,382,382,382,382,382,382,382,382,382,382,CeGa2Ir2,30
383,383,383,383,383,383,383,383,383,383,383,383,MnSn3,55
384,384,384,384,384,384,384,384,384,384,384,384,Li2CeGe,70
385,385,385,385,385,385,385,385,385,385,385,385,Er2In8Co,55
386,386,386,386,386,386,386,386,386,386,386,386,CeAlCu2Ni2,55
387,387,387,387,387,387,387,387,387,387,387,387,SrPbO,65
388,388,388,388,388,388,388,388,388,388,388,388,Ti4Al11Zn,60
389,389,389,389,389,389,389,389,389,389,389,389,BiTe2,50
390,390,390,390,390,390,390,390,390,390,390,390,W3S,65
391,391,391,391,391,391,391,391,391,391,391,391,RbAl3,60
392,392,392,392,392,392,392,392,392,392,392,392,K2InCuCl6,40
393,393,393,393,393,393,393,393,393,393,393,393,HgPb2,35
394,394,394,394,394,394,394,394,394,394,394,394,DyTe,75
395,395,395,395,395,395,395,395,395,395,395,395,SrNb2CuClO7,40
396,396,396,396,396,396,396,396,396,396,396,396,NdPaO4,15
397,397,397,397,397,397,397,397,397,397,397,397,LuBi,75
398,398,398,398,398,398,398,398,398,398,398,398,Li4Nb3V3Ni2O16,30
399,399,399,399,399,399,399,399,399,399,399,399,Be2SeBr,55
400,400,400,400,400,400,400,400,400,400,400,400,MnN2Cl6,35
401,401,401,401,401,401,401,401,401,401,401,401,Rb2NaScBr6,30
402,402,402,402,402,402,402,402,402,402,402,402,Rb6Si2O7,25
403,403,403,403,403,403,403,403,403,403,403,403,SrSi2Os2,20
